,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
1376,SMVLX,Smead Value Fund Investor Class,41.39,-2.04,-0.86,52.02,30.73,38.65059,44.577427
1377,MGGIX,"Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class I",31.06,0.65,0.200001,31.46,22.91,28.661177,28.45934
1378,SFDYX,SEI Institutional Managed Trust Mid-Cap Fund Class Y,21.95,-0.99,-0.22,26.66,15.41,20.132353,23.149853
1379,ATERX,AB Sustainable Global Thematic Fund Class R,122.67,0.54,0.660005,129.34,88.8,114.37265,116.55029
1380,SGAPX,Virtus SGA Global Growth I Class,22.97,0.61,0.14,24.02,16.96,21.561764,21.788603
1381,CSSZX,Columbia Select Small Cap Value Fund Institutional Class,16.09,-2.48,-0.41,20.59,10.8,14.267058,17.144264
1382,TFSCX,Templeton Institutional Foreign Smaller Companies Series Advisor,17.53,0.81,0.139999,21.81,12.96,15.965,18.508236
1383,FNCMX,Fidelity NASDAQ Composite Index Fund,117.95,-0.46,-0.54,123.3,86.19,110.75412,110.61625
1384,HJSIX,Hennessy Japan Small Cap Fund Institutional Class,14.53,0.48,0.07,15.93,10.46,13.118529,14.092573
1385,FANIX,Fidelity Advisor Energy Fund I Class,18.35,-2.5,-0.47,30.39,11.04,16.90206,22.327574
1386,VGELX,Vanguard Energy Fund Admiral Shares,60.62,-1.01,-0.619998,92.55,41.11,56.988235,72.38897
1387,FLCSX,Fidelity Large Cap Stock Fund,28.87,-1.13,-0.33,34.42,21.57,27.156765,30.36625
1388,MCSVX,MainStay MacKay Convertible Fund Class B,18.35,0.0,0.0,19.21,14.26,17.205883,17.55772
1389,TRGIX,TIAA-CREF Growth & Income Fund Retirement Class,14.02,-0.21,-0.03,15.86,10.18,13.176176,14.077721
1390,VGISX,Virtus Duff & Phelps Global Real Estate Securities Fund Class I,27.19,0.85,0.229999,35.36,20.39,25.790295,30.282133
1391,HRCUX,Carillon ClariVest Capital Appreciation Fund Class R6,48.38,-0.04,-0.02,51.67,35.23,45.561176,46.090073
1392,TCMIX,AMG TimesSquare International Small Cap Fund Class Z,14.05,0.43,0.06,16.47,10.12,12.61,14.363235
1393,POGSX,Pin Oak Equity Fund,68.12,-0.19,-0.13,77.0,51.06,64.20853,68.860886
1394,MXXVX,Matthew 25 Fund,27.08,-1.88,-0.52,33.09,18.59,24.248236,28.303677
1395,FCAGX,Fidelity Advisor Small Cap Growth Fund Class A,24.68,-1.0,-0.25,27.81,17.37,22.735882,24.202574
1396,PARNX,Parnassus Fund,48.43,0.98,0.47,53.59,35.1,44.907352,47.569412
1397,TGVIX,Thornburg International Value Fund Class I,21.93,0.46,0.1,24.96,17.16,20.52,22.284632
1398,FPBFX,Fidelity Pacific Basin Fund,32.33,0.53,0.169996,35.49,25.69,31.100882,32.296177
1399,VSCGX,Vanguard LifeStrategy Conservative Growth Fund Investor Shares,20.71,0.0,0.0,21.54,18.12,20.14206,20.560736
1400,PTRMX,Performance Trust Municipal Bond Fund - A Class,25.14,0.08,0.020001,26.21,22.85,24.714706,25.059853
1401,JNGLX,Janus Henderson Global Life Sciences Fund Class D,62.14,0.86,0.53,63.96,45.67,59.491177,59.173016
1402,MAPOX,Mairs & Power Balanced Fund Investor Class,93.27,0.02,0.02,102.82,76.4,89.507355,94.838234
